PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,Label1,label 2,Label3,label 4
-10.55102528,-3.905653417,-0.00666123,-3.791829237,-5.637032281,-0.364760612,3.841613245,-3.391806555,1.329273641,-2.795018306,-3.321089137,3.322430661,-1.086175336,-1.390598377,-1.495962747,1.027173412,0.461127643,-0.320478656,-1.400089969,0.103803385,-0.240034794,-1.160153084,-0.919522463,0.813009201,0.68399902,10,3,2,2
-10.35713292,-6.054060683,-7.770032483,9.321899471,4.741404976,0.147587202,5.626266763,-2.565780351,-4.289016338,2.561559146,1.538120277,-0.545403083,0.407988553,-0.219491295,1.656683098,0.741547672,-1.33520042,1.054652014,0.113767409,0.02399535,-1.055627729,0.377790694,1.004496731,0.712776778,-0.909088394,10,3,3,2
-12.58932119,-5.200460866,2.099204534,3.16116529,-3.82701667,6.138074379,-5.245732705,3.919158834,-0.595141288,-7.078973085,4.665896376,2.512430141,0.388086199,4.626323223,1.495723307,0.816092167,-1.096440441,0.759551273,-0.50964554,2.090058989,1.475297904,0.212357762,-1.021400768,-0.799885278,0.585576611,10,3,4,2
-8.897558053,-4.786571895,-4.507148324,6.582197301,3.867537193,1.156192059,3.207159105,-2.397516318,-3.109159531,2.060845949,-0.078383827,-0.069458316,-1.604423562,-1.471474411,2.062509993,0.963327836,-0.602504935,0.040431026,-0.387554592,-1.002990217,1.457320032,-0.129000781,0.392207271,0.517460989,-0.371259294,10,3,5,2
-12.40376805,-5.696218345,-2.241218072,-3.452634229,-5.41445533,-0.331664436,0.376537443,-3.242912114,-4.381498022,-1.89099773,-4.89252665,2.685973845,1.393601164,-2.607285622,-3.627244088,1.133393409,-2.194743523,0.189423145,-1.667260916,0.221724626,0.524722949,-0.383984132,0.018111401,-0.886632362,0.852830504,10,4,1,2
-11.07046562,-3.389901036,3.933995794,-3.852764934,-4.508172241,-3.640346301,8.654755832,-5.357345047,5.408388215,-1.629610777,-4.0059663,1.283935175,0.73044791,-0.465541871,-1.227795704,4.231172399,2.434835449,2.045004154,0.645240272,1.402295013,-1.227347705,2.00011739,-0.039810902,0.136578429,-0.866790188,10,4,2,2
-11.58267278,-6.474283584,-11.25992765,18.1943068,6.097821029,1.195306082,6.36442465,-2.924134356,-4.346006229,0.008033142,3.593579379,1.150634607,1.604712039,-1.280429832,3.216272514,2.531478135,-0.57327264,-0.872852307,-1.199486037,1.124097424,-0.533280766,0.44402738,-0.013292688,-0.09543085,0.36325297,10,4,3,2
-10.15074693,-1.936048942,-3.197042249,2.98345785,1.670706655,2.687321658,0.985695694,-1.31313116,-2.708955836,-2.472907549,6.844891593,1.550986363,-1.299896963,1.502392214,-0.79128298,-0.529488087,0.441308098,0.463101722,-0.734504088,0.711581165,0.982109312,-0.617728237,0.399040022,0.166577741,-0.353341819,10,4,4,2
-8.127704564,0.082165548,-11.86124068,13.3948159,7.285862165,0.93171811,6.802218574,-4.604314553,-5.460599935,-1.15294549,8.013013168,0.643559581,0.258963867,-0.152687733,-0.401724298,1.486376406,0.791982323,-0.673017504,-0.743644464,0.032813,-0.315777031,0.834095227,0.594187497,1.131172768,0.36222052,10,4,5,2
1.113553536,-10.8983898,-0.605226277,-2.795973605,-3.101268515,0.963664796,2.005045131,-0.907195735,-0.671204424,0.115080711,-2.619988319,2.052443228,-1.589393537,-1.617304396,-0.074836499,-0.867861828,0.417555497,-0.578852152,-0.773825293,-0.772520169,-0.627102935,0.307043042,-0.368422334,1.073614877,-0.301667045,10,5,1,2
2.065962212,-9.682842628,1.22531859,-2.315929018,-1.999624124,-0.019369354,3.382471957,-0.917572145,0.764673828,-0.58792728,-2.683725418,0.409103126,1.208037137,-1.376906221,0.218440503,-0.204185068,1.053087296,0.181036664,0.974577311,0.871060913,-0.042748194,-0.633361864,-0.788347757,0.595467878,-0.498925372,10,5,2,2
-0.603655804,-12.65594592,1.765947236,-1.328117473,-1.890661472,6.077241849,-4.091537344,-0.550241058,0.39807077,-0.957251901,0.353758406,0.353960355,0.340973459,3.626540797,-0.71923521,-0.736446733,-1.99571172,0.631876754,0.178895856,0.778530299,-0.852458363,0.317061824,-1.446085594,-0.362890078,-0.685766752,10,5,3,2
-0.905634918,-16.64425054,-4.170530226,13.11127019,0.832714787,3.122592217,4.289613028,0.755478954,-1.600501985,1.30897388,-1.827667819,1.224000979,0.567371315,-0.559908266,5.20535434,2.149732412,-1.568840201,-0.294945817,1.447618402,-0.151715296,0.008559127,0.078596713,-0.621665971,-0.911813435,1.054498514,10,5,4,2
-0.687056148,-13.12669361,-3.034913168,7.347929653,2.501687072,1.402491336,4.617895036,-0.444916847,-2.868177909,1.051117997,-0.22875346,0.558270068,-0.667022588,0.001811117,1.661976835,0.61856938,-1.312143271,0.783216586,0.507697385,-1.071680666,0.74579975,-0.052569341,-0.630052596,0.183694447,0.042963646,10,5,5,2
-9.272546977,-6.000904325,0.574837707,0.040307849,-0.606298752,0.918273504,-2.899041523,-1.655072384,-2.315625679,1.759670396,-2.542280067,-0.069479399,1.044280703,0.018492833,1.146246475,-2.475768501,1.468002619,0.621989391,-0.77936025,-0.266690413,-0.833219173,0.3867419,-0.264683141,-0.260031263,0.790057333,11,1,1,2
-7.98351183,-4.991818711,1.997520265,-0.000727846,-0.401811762,1.63748108,-3.702930181,-6.326137055,-2.180025614,5.088743288,-2.904251689,-0.766007862,-0.915581866,0.809178319,1.319971998,-1.534236381,0.202233317,0.269934766,-0.36582916,-1.931435917,0.39602101,0.548437416,0.144906214,-0.879787553,-1.170579058,11,1,2,2
-7.174417713,-8.207695107,-13.84687867,-0.434806413,0.537924821,-6.076254128,-5.031267218,2.03646748,4.39146146,2.845501803,2.220372623,-2.059057651,0.226103558,-0.720155708,-0.548912964,1.163930278,0.595289903,0.513210464,-0.840354514,-0.573206115,1.130783268,0.88075717,-0.849498929,-0.386081539,0.019707932,11,1,3,2
-6.844208202,-6.623912862,-13.43901986,-0.787436093,-0.573307984,-6.078685874,-3.383797396,-0.507892512,4.033980134,0.945823004,1.569506065,-0.653085579,0.320094545,0.239178065,0.093692083,0.737882221,0.719818365,0.558131056,-0.167533319,-0.695111839,1.297569773,-0.709511726,1.219040175,-0.273787304,-0.263895586,11,1,4,2
-5.707151007,-5.423038759,-6.54884815,-1.221655131,-0.356522285,-3.466641203,-1.778652068,-3.125306418,1.121376655,2.70752009,-0.488949926,-0.931343061,-0.771684862,0.487315092,0.557379508,0.336579555,-0.540661422,-0.280025365,0.412051916,-1.016051456,0.674125144,-1.044119887,0.566003949,-0.794662368,-1.043793911,11,1,5,2
