Label1,label 2,Label3,label 4,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
13,2,1,2,3.623518125,-2.966183284,-1.273742066,-1.067987185,1.04636424,0.025297573,-1.448962138,1.906147865,0.160328192,0.18392048,-0.487506957,-0.417034936,-0.658824923,-0.554936952,-0.793487722,0.959179236,-0.056135963,-0.497140824,0.385156148,-0.194881566,-0.114007806,0.011618845,0.054007092,-0.168660535,0.289433063
13,3,1,2,-2.655965359,-0.668113886,-1.180092242,0.645345944,1.285845906,-1.348872675,0.100657559,-0.936517098,0.323694172,-0.273331603,0.039970746,1.165590308,-0.26280589,0.720436438,1.249090293,0.254752872,-0.106346633,0.01626705,-0.145787107,-0.397991306,0.150159089,-0.147781821,-0.029289235,0.146914751,-0.042273255
13,4,1,2,-1.527261397,-1.288234184,-1.405258431,0.468988856,-0.422196892,-1.976198042,-0.473740339,-1.225641483,0.437417001,0.70281342,0.374104342,1.047625687,-1.03886282,0.539412331,0.700068614,0.876557737,-0.19069565,-0.22751704,-0.283876299,-0.151451994,0.032946646,-0.059702307,-0.056920961,-0.03354722,-0.121273043
13,5,1,2,-1.562834078,-0.558036221,0.115651327,0.571026379,1.477280085,-0.194328949,-1.888152437,1.734617677,-0.053282444,-0.728068068,-0.115491482,-0.062506363,-1.153585719,0.05080121,-0.195264721,0.079746898,-0.409152221,0.060550308,-0.25830357,0.165293512,-0.106305075,-0.105355598,0.090955964,0.010869149,0.121533915
14,1,1,2,-2.034011998,-0.801327033,0.239757566,-0.343268676,0.571883932,-0.910154976,0.877182861,0.200644205,1.038325793,1.104385311,0.089601069,-0.439886603,-0.246914596,-0.034084362,-0.537180645,0.048758583,-0.090254288,-0.216271501,0.111512887,0.238358204,-0.117459102,0.026915065,0.147448808,-0.026892036,-0.067956375
14,2,1,2,-3.726993996,0.0983501,0.73948761,0.160000749,0.562404808,-0.431365579,0.589153698,-0.057545856,1.107580208,-1.238944396,-0.022656629,0.031853603,-0.216715946,0.586105038,-0.395152624,0.090135551,0.354913821,-0.206038555,0.343819342,0.19875988,-0.211056005,-0.069133368,-0.095007092,-0.035959043,-0.18507543
14,3,1,2,-3.455305485,0.030203811,0.504965753,0.091612608,0.946176741,-0.467076722,0.596209081,0.14628812,0.146106729,0.161923794,0.122483684,-0.148824896,-0.054779225,-0.337756247,0.016547974,-0.390348565,0.435916759,-0.084507418,0.472866385,0.43650965,-0.179702061,-0.052341751,0.288172199,-0.238294618,-0.127067603
14,4,1,2,-3.031088347,0.138413246,0.433407255,0.146928207,0.968577939,-0.417536569,0.514580336,0.113953826,0.56692004,-0.375815366,0.093121627,-0.153021214,0.175358337,0.391029341,-0.235965478,-0.102151065,0.004662703,-0.119235708,0.134902883,0.403256783,-0.014592257,-0.029442569,0.012789988,-0.124412837,-0.009328101
14,5,1,2,-3.136273197,-0.240244157,0.518482696,-0.030286724,0.713010488,-0.424876594,0.483353265,0.152375945,0.381103014,-0.24085292,0.001946308,-0.12885637,-0.028294819,0.350711218,-0.34688109,-0.134366612,0.233218838,-0.219535498,0.260912591,0.265523286,-0.126147837,0.021812502,-0.052430968,-0.078015813,-0.04124727
6,1,1,1,-3.03796006,-2.288325227,-0.49703341,-1.228242997,-1.27745802,-0.665956577,-0.305267357,-0.535826837,-1.582683456,1.235483149,0.0020351,-0.314821333,0.714162138,0.83780862,-1.196874469,0.624801187,-0.348076137,0.680343959,-0.955557776,0.501358397,0.241405778,-0.276689109,-0.123467684,0.059037237,0.055450072
