PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Label1,label 2,Label3,label 4
4.329072475,5.670325125,1.678916686,0.257566307,-0.553149902,0.080990356,0.090837583,-0.122679299,-0.14704017,0.372433537,7,2,2,1
7.679485752,-2.188210562,-1.958859143,-0.654565804,-0.202342123,-0.346348386,0.650658241,-0.216967055,0.421453433,-0.430322252,7,2,3,1
4.329674109,5.669038422,1.677047932,0.257067635,-0.553024444,0.07963605,0.092617476,-0.120831517,-0.147857814,0.372830471,7,2,4,1
5.325428325,-3.818844721,-3.045974338,-0.735355493,0.461133381,-0.301363038,-1.841952854,-0.40800637,1.08180445,0.606346933,7,2,5,1
4.330328877,5.6667531,1.680004329,0.255052004,-0.553863521,0.081350249,0.093951391,-0.119768512,-0.146154224,0.372850937,7,3,1,1
4.329901559,5.668192599,1.678734731,0.253755748,-0.554780559,0.080462717,0.092461155,-0.120912857,-0.146295591,0.371748854,7,3,2,1
9.11808543,-1.467372309,-1.341298997,-0.697963947,0.428400369,-0.149340184,-0.316886759,0.01623962,0.454700761,-0.705317493,7,3,3,1
4.328766089,5.666903846,1.682564925,0.257724142,-0.550841021,0.081285025,0.092969314,-0.123647897,-0.145618424,0.372632635,7,3,4,1
6.860717175,-3.786493054,-3.328532302,-0.069214121,0.746996477,-1.352142188,-0.646840169,-0.150575229,1.127254775,0.860451499,7,3,5,1
4.332340989,5.667887662,1.679359026,0.25680476,-0.552271449,0.080277479,0.091988423,-0.121114802,-0.145803771,0.3720636,7,4,1,1
4.329075892,5.668131314,1.679156851,0.25749531,-0.555416668,0.080637749,0.09318775,-0.122473474,-0.146387682,0.373080992,7,4,2,1
10.62785942,-0.526833821,-1.8627267,-0.045098239,0.584960636,0.111033905,-0.375479784,0.293386845,0.819070019,-0.856835955,7,4,3,1
4.328239256,5.666735688,1.678422243,0.25594322,-0.555907657,0.079962951,0.090574893,-0.123002834,-0.14530913,0.373191422,7,4,4,1
8.217892662,-0.098845057,-1.433733291,0.060228447,1.442399309,-1.107043814,2.054161417,-0.902588374,-0.348396178,0.290693863,7,4,5,1
4.328902678,5.664881378,1.680018679,0.257967066,-0.55347495,0.081706752,0.092398687,-0.121964099,-0.145404044,0.373281007,7,5,1,1
4.328465988,5.667719417,1.680415423,0.255728217,-0.553327257,0.079827118,0.089911973,-0.122524269,-0.147811702,0.373307755,7,5,2,1
8.086922289,1.647798078,-0.85973648,0.193823598,2.455006689,-0.159104216,-0.145962342,0.933305643,0.227857583,1.147692908,7,5,3,1
