PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,label 1,label 2,label 3,label 4
12.90868587,-4.367218703,6.696769741,2.055635659,10.0395045,1.831421882,2.789777317,-2.291697272,6.473756754,-2.606488227,11,3,4,2
11.84906431,-4.969581849,6.484952328,0.554718777,11.55153828,1.21507854,1.644512177,-3.647188435,3.488678757,-3.700709323,11,3,5,2
-3.309191902,-1.801961978,-6.762815159,3.377007697,0.042734767,-0.223905699,-4.033700955,4.223176477,-4.333285465,1.335356569,11,4,1,2
-5.827848033,-8.177987002,-3.964903836,4.033265537,-3.391443765,4.258004166,-13.92472285,5.105005483,6.967294417,7.605717837,11,4,2,2
-0.614713908,0.308887915,5.233340801,-1.697985631,20.37895147,-3.934823851,5.726713425,3.052300184,10.68795379,3.838296432,11,4,3,2
-3.255650782,0.417192319,1.264780627,0.700261271,10.30983096,-1.617494775,0.742458664,-0.486367359,3.057724026,3.603391227,11,4,4,2
-1.963416557,-0.529085399,-1.99175771,1.423682067,4.191259232,0.114322292,-4.408678756,5.497736255,0.066120321,-1.569711397,11,4,5,2
-5.796803623,-3.635111274,1.265540339,-2.731431952,2.281652053,4.393791013,-6.541401176,-3.480522478,3.115476405,-1.691842934,13,1,1,2
-6.075710059,-2.028462413,4.512910173,-6.792713856,-1.965238464,4.78237735,-2.275364073,-4.26316506,-1.056914147,-7.58377517,13,1,2,2
-9.141408596,8.220268889,26.20329471,6.758229859,-11.14465369,1.771387311,-2.372423381,-3.720374962,-0.157581138,1.690629375,13,1,3,2
-6.487884302,-8.538449074,-1.554551868,-0.499542695,-6.223399948,5.255192746,-12.05446684,-12.8686043,11.68902456,-2.826221826,13,1,4,2
-8.725756061,-9.021201741,-1.824673882,0.30024991,-5.11794202,7.476823982,-12.71964625,-5.317004771,8.679973352,-3.393794736,13,1,5,2
-13.68994368,9.415591884,-3.663833972,-6.062471634,-2.974080325,1.991930044,-3.610996443,-6.00593802,-0.595435601,-8.086270459,13,2,1,2
-11.91319585,12.91712247,-9.649638672,7.025613004,0.354120888,1.564597472,-1.673066542,-2.118661377,0.285736342,-3.241651216,13,2,2,2
-8.39029593,23.57915622,24.868706,-3.29233268,-6.675966101,-13.18846966,-7.19920718,5.019114441,-0.552620748,-1.696994089,13,2,3,2
-9.026760531,23.30400573,24.10551657,-1.40245212,-4.04471192,-10.56130024,-9.8252941,4.399171433,3.446585106,3.785991727,13,2,4,2
-5.579038438,15.54487029,9.398159256,-1.971028737,-4.823224189,-3.542654753,-4.54622249,-0.750636172,3.396041965,0.221561079,13,2,5,2
-6.958816663,-6.645938525,4.880781977,-6.619837767,3.403784739,3.264303846,-2.702816398,2.737534643,-4.049528332,-2.392480687,13,3,1,2
-7.905739507,-5.4540369,0.572114925,-2.493845757,0.126316418,2.177489966,-7.138066396,-4.03053567,6.73174452,0.129066781,13,3,2,2
-11.6100173,8.575151572,31.37244605,5.650177145,-9.600438398,-8.692614063,-3.466196775,-0.475077563,-0.034351599,0.714430769,13,3,3,2
-11.08003874,7.922601235,28.77541393,5.71339384,-8.159945568,-9.632183209,-3.738061964,-0.098010204,0.347446592,1.938369125,13,3,4,2
-9.574920348,7.722154212,23.0231672,4.371287274,-7.412220361,-6.570309742,-2.085187591,-0.358789769,-1.07931067,1.288384369,13,3,5,2
-8.99143626,-4.674992958,0.017505679,-3.082073936,2.53757344,-0.531130263,-5.932394692,0.381717399,0.240060043,4.181772624,13,4,1,2
-7.316546625,-4.531346553,-7.118132316,-4.037075315,-0.321950554,-1.159737156,-1.258364179,-1.683571268,-5.75549052,1.790334117,13,4,2,2
-9.112171951,8.869509209,23.21959078,4.064948555,-2.070568872,-14.02230631,-4.816294868,6.75587843,-1.392541421,7.810459546,13,4,3,2
-2.450947771,-4.639484348,-1.006284019,-0.839447436,-1.790971044,-1.389182439,-1.041641311,-5.650490941,7.29526406,-0.006053522,13,4,4,2
