PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,label 1,label 2,label 3,label 4
-11.05258979,-5.563305531,-0.42971239,-4.702104955,-7.009731365,-0.580153501,4.002139844,-5.207090108,0.878938026,-1.28406119,-3.955091515,2.321964086,0.213806268,-0.797798141,-3.701730041,4.903406312,-1.73762481,1.383216815,-0.116828065,-0.250846099,-0.719877962,1.279185521,0.232243201,-0.711459868,-1.584566947,10,3,1,2
-10.55102528,-3.905653417,-0.00666123,-3.791829237,-5.63703228,-0.364760613,3.841613244,-3.391806559,1.329273635,-2.795018305,-3.321089129,3.322430727,-1.086174421,-1.390599492,-1.495962812,1.027168304,0.461135088,-0.320516275,-1.400165215,0.103587058,-0.239881203,-1.160198511,-0.918234378,0.813216508,0.681184924,10,3,2,2
-10.35713292,-6.054060683,-7.770032483,9.321899471,4.741404975,0.147587202,5.626266763,-2.565780351,-4.289016337,2.561559145,1.538120278,-0.545403098,0.407988225,-0.219490597,1.656683191,0.741548753,-1.335202721,1.054657647,0.113784746,0.024048592,-1.05575957,0.377850145,1.004275175,0.712693049,-0.907988618,10,3,3,2
-12.58932119,-5.200460866,2.099204534,3.16116529,-3.82701667,6.138074379,-5.245732704,3.919158835,-0.595141285,-7.078973082,4.665896382,2.512430085,0.388085781,4.626324014,1.495723469,0.816095556,-1.096445271,0.759576408,-0.509602777,2.090190952,1.475263954,0.21250994,-1.021815117,-0.799621813,0.587000367,10,3,4,2
-8.897558053,-4.786571895,-4.507148324,6.582197301,3.867537193,1.156192059,3.207159105,-2.397516317,-3.109159528,2.06084595,-0.078383831,-0.069458338,-1.604423946,-1.471474056,2.062510086,0.96332964,-0.602507178,0.04044787,-0.387519362,-1.002901145,1.457241212,-0.128885661,0.391772525,0.517503254,-0.370554067,10,3,5,2
-12.40376805,-5.696218345,-2.241218072,-3.452634229,-5.41445533,-0.331664436,0.376537443,-3.242912113,-4.381498021,-1.890997732,-4.892526657,2.68597385,1.393601037,-2.6072856,-3.627244142,1.13339367,-2.194744666,0.189427271,-1.667255408,0.221745786,0.524637397,-0.384079741,0.017876195,-0.886858633,0.853213491,10,4,1,2
-11.07046562,-3.389901036,3.933995794,-3.852764934,-4.508172241,-3.640346301,8.654755834,-5.357345049,5.408388215,-1.62961077,-4.005966285,1.2839351,0.730447758,-0.465541343,-1.227795528,4.231175926,2.434830666,2.045025271,0.645275192,1.402425251,-1.227240207,2.000375168,-0.039742267,0.136958397,-0.865702602,10,4,2,2
-11.58267278,-6.474283584,-11.25992765,18.1943068,6.097821029,1.195306082,6.364424649,-2.924134355,-4.346006223,0.008033141,3.59357937,1.150634592,1.604711928,-1.280429076,3.216272275,2.531479397,-0.573278159,-0.872841696,-1.199477216,1.124109244,-0.533437647,0.443934787,-0.013422849,-0.096082938,0.364205809,10,4,3,2
-10.15074693,-1.936048942,-3.197042249,2.98345785,1.670706655,2.687321658,0.985695693,-1.313131159,-2.708955833,-2.472907551,6.844891585,1.550986361,-1.299897217,1.502392632,-0.791282918,-0.529487556,0.441305786,0.463112558,-0.734484948,0.711619416,0.981914109,-0.617617323,0.398931051,0.16639928,-0.35317857,10,4,4,2
-8.127704564,0.082165548,-11.86124068,13.3948159,7.285862165,0.93171811,6.802218573,-4.604314555,-5.460599938,-1.152945487,8.01301318,0.64355962,0.258964648,-0.152688374,-0.40172454,1.486373157,0.791988511,-0.673042617,-0.743708241,0.032619956,-0.315573861,0.834055948,0.595186744,1.131397762,0.359922445,10,4,5,2
